,result
0,0.020299554
1,0.020299524
2,0.020299584
3,0.020299524
4,0.020299524
5,0.020299554
6,0.020299554
7,0.020299554
8,0.020299554
9,0.020299524
10,0.020299554
11,0.020299554
12,0.020299584
13,0.020299554
14,0.020299584
15,0.020299524
16,0.020299554
17,0.020299554
18,0.020299554
19,0.020299554
20,0.020299524
21,0.020299524
22,0.020299554
23,0.020299584
24,0.020299554
25,0.020299554
26,0.020299554
27,0.020299554
28,0.020299554
29,0.020299554
30,0.020299584
31,0.020299554
32,0.020299554
33,0.020299524
34,0.020299554
35,0.020299584
36,0.020299554
37,0.020299554
38,0.020299554
39,0.020299554
40,0.020299554
41,0.020299554
42,0.020299554
43,0.020299584
44,0.020299554
45,0.020299584
46,0.020299584
47,0.020299554
48,0.020299554
49,0.020299554
50,0.020299554
51,0.020299524
52,0.020299554
53,0.020299524
54,0.020299584
55,0.020299554
56,0.020299584
57,0.020299554
58,0.020299554
59,0.020299524
60,0.020299524
61,0.020299554
62,0.020299554
63,0.020299524
64,0.020299554
65,0.020299554
66,0.020299554
67,0.020299524
68,0.020299524
69,0.020299554
70,0.020299554
71,0.020299554
72,0.020299554
73,0.020299524
74,0.020299524
75,0.020299554
76,0.020299524
77,0.020299524
78,0.020299554
79,0.020299554
80,0.020299524
81,0.020299554
82,0.020299554
83,0.020299554
84,0.020299584
85,0.020299584
86,0.020299554
87,0.020299554
88,0.020299554
89,0.020299524
90,0.020299524
91,0.020299554
92,0.020299524
93,0.020299524
94,0.020299584
95,0.020299524
96,0.020299554
97,0.020299554
98,0.020299524
99,0.020299554
100,0.020299554
101,0.020299554
102,0.020299524
103,0.020299584
104,0.020299524
105,0.020299554
106,0.020299554
107,0.020299524
108,0.020299554
109,0.020299524
110,0.020299554
111,0.020299554
112,0.020299554
113,0.020299554
114,0.020299524
115,0.020299554
116,0.020299554
117,0.020299554
118,0.020299554
119,0.020299554
120,0.020299584
121,0.020299584
122,0.020299554
123,0.020299524
124,0.020299524
125,0.020299584
126,0.020299524
127,0.020299554
128,0.020299554
129,0.020299554
130,0.020299554
131,0.020299554
132,0.020299524
133,0.020299554
134,0.020299554
135,0.020299554
136,0.020299584
137,0.020299554
138,0.020299554
139,0.020299524
140,0.020299554
141,0.020299524
142,0.020299554
143,0.020299554
144,0.020299554
145,0.020299554
146,0.020299524
147,0.020299584
148,0.020299554
149,0.020299554
150,0.020299554
151,0.020299554
152,0.020299524
153,0.020299554
154,0.020299554
155,0.020299524
156,0.020299584
157,0.020299554
158,0.020299554
159,0.020299554
160,0.020299584
161,0.020299554
162,0.020299584
163,0.020299554
164,0.020299524
165,0.020299524
166,0.020299554
167,0.020299584
168,0.020299524
169,0.020299613
170,0.020299554
171,0.020299554
172,0.020299554
173,0.020299554
174,0.020299554
175,0.020299554
176,0.020299554
177,0.020299554
178,0.020299584
179,0.020299584
180,0.020299524
181,0.020299613
182,0.020299554
183,0.020299554
184,0.020299524
185,0.020299554
186,0.020299554
187,0.020299554
188,0.020299554
189,0.020299554
190,0.020299554
191,0.020299554
192,0.020299554
193,0.020299524
194,0.020299584
195,0.020299554
196,0.020299554
197,0.020299554
198,0.020299524
199,0.020299554
200,0.020299554
201,0.020299554
202,0.020299524
203,0.020299554
204,0.020299524
205,0.020299554
206,0.020299554
207,0.020299524
208,0.020299554
209,0.020299524
210,0.020299524
211,0.020299554
212,0.020299554
213,0.020299554
214,0.020299524
215,0.020299554
216,0.020299554
217,0.020299554
