,result
0,0.00299415
1,0.0029941201
2,0.0029942095
3,0.0029941797
4,0.00299415
5,0.0029941201
6,0.00299415
7,0.00299415
8,0.0029941201
9,0.0029941201
10,0.0029941201
11,0.00299415
12,0.0029942095
13,0.0029941797
14,0.00299415
15,0.00299415
16,0.0029941201
17,0.00299415
18,0.00299415
19,0.00299415
20,0.00299415
21,0.00299415
22,0.00299415
23,0.0029941201
24,0.00299415
25,0.00299415
26,0.00299415
27,0.00299415
28,0.0029941201
29,0.00299415
30,0.0029941201
31,0.0029941797
32,0.0029941201
33,0.0029941201
34,0.00299415
35,0.0029941201
36,0.00299415
37,0.00299415
38,0.00299415
39,0.00299415
40,0.0029942691
41,0.00299415
42,0.00299415
43,0.0029941201
44,0.0029941201
45,0.00299415
46,0.00299415
47,0.0029941797
48,0.0029941201
49,0.00299415
50,0.0029941201
51,0.0029941201
52,0.00299415
53,0.00299415
54,0.0029941201
55,0.0029941201
56,0.0029941797
57,0.0029942095
58,0.00299415
59,0.0029941201
60,0.00299415
61,0.00299415
62,0.00299415
63,0.0029941201
64,0.0029941201
65,0.00299415
66,0.0029941797
67,0.00299415
68,0.00299415
69,0.00299415
70,0.00299415
71,0.00299415
72,0.00299415
73,0.0029941201
74,0.0029941201
75,0.0029940605
76,0.0029941201
77,0.0029940903
78,0.00299415
79,0.00299415
80,0.00299415
81,0.0029941797
82,0.0029941201
83,0.00299415
84,0.00299415
85,0.00299415
86,0.0029941201
87,0.00299415
88,0.00299415
89,0.0029941201
90,0.0029941201
91,0.0029942095
92,0.00299415
93,0.0029941201
94,0.0029940903
95,0.0029941201
96,0.00299415
97,0.0029941201
98,0.00299415
99,0.00299415
100,0.00299415
101,0.00299415
102,0.00299415
103,0.0029941201
104,0.00299415
105,0.0029942095
106,0.0029941797
107,0.0029941201
108,0.00299415
109,0.0029941201
110,0.0029941201
111,0.0029941201
112,0.00299415
113,0.0029941201
114,0.0029940903
115,0.0029941201
116,0.0029941201
117,0.0029941201
118,0.0029941797
119,0.0029941797
120,0.00299415
121,0.00299415
122,0.00299415
123,0.0029941201
124,0.00299415
125,0.0029941201
126,0.0029941797
127,0.00299415
128,0.0029941201
129,0.0029941201
130,0.0029941201
131,0.00299415
132,0.00299415
133,0.00299415
134,0.00299415
135,0.00299415
136,0.0029941797
137,0.0029941201
138,0.0029941797
139,0.0029941201
140,0.00299415
141,0.00299415
142,0.00299415
143,0.0029941201
144,0.00299415
145,0.00299415
146,0.0029941797
147,0.00299415
148,0.00299415
149,0.0029941201
150,0.0029941201
151,0.0029941201
152,0.0029941797
153,0.00299415
154,0.0029941201
155,0.0029941201
156,0.0029941201
157,0.00299415
158,0.0029941201
159,0.0029942095
160,0.0029941201
161,0.0029941201
162,0.00299415
163,0.00299415
164,0.00299415
165,0.0029941201
166,0.0029941201
167,0.00299415
168,0.0029941201
169,0.00299415
170,0.0029941201
171,0.00299415
172,0.00299415
173,0.00299415
174,0.0029941201
175,0.00299415
176,0.00299415
177,0.0029941201
178,0.002994299
179,0.0029941201
180,0.0029941201
181,0.0029941201
182,0.0029941797
183,0.00299415
184,0.0029941797
185,0.0029941201
186,0.00299415
187,0.00299415
188,0.0029940903
189,0.00299415
190,0.0029941201
191,0.00299415
192,0.0029941201
193,0.0029941797
194,0.00299415
195,0.00299415
196,0.0029940903
197,0.0029941201
198,0.0029941201
199,0.00299415
200,0.0029942095
201,0.0029941201
202,0.0029941201
203,0.0029942393
204,0.0029940903
205,0.00299415
206,0.00299415
207,0.00299415
208,0.0029941201
209,0.0029941797
210,0.0029941797
211,0.0029941201
212,0.0029941201
213,0.0029941201
214,0.0029941201
215,0.00299415
216,0.0029941797
217,0.00299415
218,0.0029943883
219,0.0029941201
220,0.00299415
221,0.0029941201
222,0.0029941201
223,0.00299415
224,0.0029941201
225,0.0029941797
226,0.0029941797
227,0.00299415
228,0.00299415
229,0.0029941797
230,0.00299415
231,0.00299415
232,0.0029941201
233,0.00299415
234,0.00299415
235,0.00299415
236,0.0029941201
237,0.00299415
238,0.00299415
239,0.0029941201
240,0.0029941201
241,0.0029940903
242,0.0029941201
243,0.0029941201
244,0.0029941201
245,0.0029941201
246,0.0029941201
247,0.00299415
248,0.00299415
249,0.00299415
250,0.0029941797
251,0.00299415
252,0.0029941201
253,0.0029941797
254,0.0029942095
255,0.0029941201
256,0.00299415
257,0.00299415
258,0.00299415
259,0.00299415
260,0.00299415
261,0.0029941201
262,0.0029941201
263,0.0029941201
264,0.0029942095
265,0.0029941797
266,0.0029941201
267,0.00299415
268,0.00299415
269,0.0029941201
270,0.00299415
271,0.00299415
272,0.00299415
273,0.0029941201
274,0.0029941201
275,0.00299415
276,0.00299415
277,0.0029941201
278,0.0029941201
279,0.0029941201
280,0.0029941201
281,0.00299415
282,0.00299415
283,0.0029946566
284,0.0029941201
285,0.00299415
286,0.0029941201
287,0.00299415
288,0.00299415
289,0.0029941201
290,0.0029941201
291,0.0029941201
292,0.0029941201
293,0.00299415
294,0.0029941201
295,0.0029941201
296,0.00299415
297,0.00299415
298,0.0029941201
299,0.0029941201
300,0.0029940605
301,0.00299415
302,0.00299415
303,0.0029941201
304,0.0029941797
305,0.0029941201
306,0.00299415
307,0.00299415
308,0.0029941201
309,0.0029941201
310,0.00299415
311,0.00299415
312,0.0029941201
313,0.0029941201
314,0.0029940903
315,0.0029941797
316,0.00299415
317,0.00299415
318,0.0029941201
319,0.0029942095
320,0.00299415
321,0.0029941201
322,0.00299415
323,0.0029941201
324,0.00299415
325,0.00299415
326,0.00299415
327,0.00299415
328,0.00299415
329,0.00299415
330,0.00299415
331,0.00299415
332,0.00299415
333,0.0029941797
334,0.00299415
335,0.00299415
336,0.0029941201
337,0.0029941797
338,0.0029941797
339,0.0029941797
340,0.00299415
341,0.00299415
342,0.00299415
343,0.00299415
344,0.00299415
345,0.00299415
346,0.00299415
347,0.0029941201
348,0.00299415
349,0.0029941797
350,0.0029940903
351,0.00299415
352,0.00299415
353,0.00299415
354,0.00299415
355,0.0029941201
356,0.0029941201
357,0.0029941201
358,0.0029941797
359,0.0029941201
360,0.0029941201
361,0.0029940903
362,0.0029942691
363,0.00299415
364,0.00299415
365,0.00299415
366,0.00299415
367,0.00299415
368,0.0029941201
369,0.0029941201
370,0.0029941201
371,0.00299415
372,0.00299415
373,0.0029942095
374,0.00299415
375,0.00299415
376,0.00299415
377,0.0029941201
378,0.0029941201
379,0.00299415
380,0.0029941201
381,0.00299415
382,0.0029941201
383,0.00299415
384,0.00299415
385,0.0029941797
386,0.00299415
387,0.00299415
388,0.00299415
389,0.00299415
390,0.00299415
391,0.0029941201
392,0.0029941201
393,0.0029941201
394,0.0029941797
395,0.00299415
396,0.00299415
397,0.0029941201
398,0.0029941201
399,0.00299415
400,0.00299415
401,0.00299415
402,0.00299415
403,0.0029941797
404,0.0029941201
405,0.0029941201
406,0.0029942095
407,0.0029941201
408,0.0029941797
409,0.00299415
410,0.00299415
411,0.0029941201
412,0.0029941797
413,0.0029941201
414,0.00299415
415,0.00299415
416,0.00299415
417,0.0029941797
418,0.00299415
419,0.00299415
420,0.00299415
421,0.00299415
422,0.00299415
423,0.00299415
424,0.0029942095
425,0.00299415
426,0.0029940903
427,0.0029941201
428,0.0029940903
429,0.00299415
430,0.0029941201
431,0.0029941201
432,0.0029941797
433,0.00299415
434,0.00299415
435,0.00299415
436,0.0029941201
437,0.00299415
438,0.0029941797
439,0.0029940903
440,0.00299415
441,0.0029941201
442,0.00299415
443,0.0029941201
444,0.00299415
445,0.0029941797
446,0.00299415
