,result
0,0.013268977
1,0.013268977
2,0.013269007
3,0.013268977
4,0.013269007
5,0.013268948
6,0.013269007
7,0.013269007
8,0.013268977
9,0.013269007
10,0.013268977
11,0.013268977
12,0.013269007
13,0.013268977
14,0.013269007
15,0.013269007
16,0.013268977
17,0.013268948
18,0.013268977
19,0.013268948
20,0.013268977
21,0.013269007
22,0.013268977
23,0.013269007
24,0.013268977
25,0.013268948
26,0.013268948
27,0.013269007
28,0.013268977
29,0.013268948
30,0.013269007
31,0.013268948
32,0.013268977
33,0.013268977
34,0.013268977
35,0.013268977
36,0.013268977
37,0.013268977
38,0.013268977
39,0.013268977
40,0.013268948
41,0.013268977
42,0.013269007
43,0.013268977
44,0.013268948
45,0.013268977
46,0.013268948
47,0.013268977
48,0.013268948
49,0.013268977
50,0.013268977
51,0.013268977
52,0.013268948
53,0.013268977
54,0.013268977
55,0.013268977
56,0.013268977
57,0.013268977
58,0.013268977
59,0.013268977
60,0.013268977
61,0.013268977
62,0.013268977
63,0.013268977
64,0.013268948
65,0.013268948
66,0.013268977
67,0.013268977
68,0.013268977
69,0.013268948
70,0.013268948
71,0.013269007
72,0.013268977
73,0.013269007
74,0.013268977
75,0.013268948
76,0.013268977
77,0.013269007
78,0.013268977
79,0.013268977
80,0.013268977
81,0.013268948
82,0.013268977
83,0.013268948
84,0.013268977
85,0.013268948
86,0.013268977
87,0.013268977
88,0.013268977
89,0.013269007
90,0.013268977
91,0.013268977
92,0.013268977
93,0.013268977
94,0.013269007
95,0.013268977
96,0.013268948
97,0.013268977
98,0.013268977
99,0.013268977
100,0.013268948
101,0.013268977
102,0.013269007
103,0.013268977
104,0.013269007
105,0.013268948
106,0.013268977
107,0.013269007
108,0.013268977
109,0.013269007
110,0.013268977
111,0.013268977
112,0.013268948
113,0.013268977
114,0.013269007
115,0.013268977
116,0.013268977
117,0.013268977
118,0.013268977
119,0.013268948
120,0.013269007
121,0.013268977
122,0.013268948
123,0.013268977
124,0.013268977
125,0.013268977
126,0.013268977
127,0.013268948
128,0.013268977
129,0.013268977
130,0.013268977
131,0.013268977
132,0.013268977
133,0.013268977
134,0.013268948
135,0.013268948
136,0.013268977
137,0.013268977
138,0.013268977
139,0.013268948
140,0.013268977
141,0.013268977
142,0.013268948
143,0.013268948
144,0.013268948
145,0.013268977
146,0.013269007
147,0.013269007
148,0.013268977
149,0.013268977
150,0.013269007
151,0.013269007
152,0.013268977
153,0.013268977
154,0.013268977
155,0.013268977
156,0.013268977
157,0.013268977
158,0.013269007
159,0.013268977
160,0.013269007
161,0.013268977
162,0.013268977
163,0.013268948
164,0.013268977
165,0.013268977
166,0.013268977
167,0.013268977
168,0.013268977
169,0.013268977
170,0.013268977
171,0.013268977
172,0.013268948
173,0.013268977
174,0.013268977
175,0.013268948
176,0.013268948
177,0.013268948
178,0.013269007
179,0.013268977
180,0.013269007
181,0.013269007
182,0.013268977
183,0.013268948
184,0.013269007
185,0.013268977
186,0.013268977
187,0.013268948
188,0.013268977
189,0.013268977
190,0.013268977
191,0.013268977
192,0.013268977
193,0.013269007
194,0.013268977
195,0.013268948
196,0.013268948
197,0.013268977
198,0.013268977
199,0.013269007
200,0.013268977
201,0.013268977
202,0.013268977
203,0.013268948
204,0.013268977
205,0.013268977
206,0.013268977
207,0.013268977
208,0.013268977
209,0.013268977
210,0.013268977
211,0.013268977
212,0.013268977
213,0.013268977
214,0.013268977
215,0.013268977
216,0.013268977
217,0.013268977
218,0.013268977
219,0.013269007
220,0.013268977
221,0.013268977
222,0.013268977
223,0.013268948
224,0.013268977
225,0.013268948
226,0.013268977
227,0.013268977
228,0.013268977
229,0.013268977
230,0.013268977
231,0.013268977
232,0.013268977
233,0.013268948
234,0.013268948
235,0.013268948
236,0.013268977
237,0.013268977
238,0.013268977
239,0.013268977
240,0.013268948
241,0.013269007
242,0.013268977
243,0.013268948
244,0.013268977
245,0.013268977
246,0.013269007
247,0.013268977
248,0.013268948
249,0.013268977
250,0.013268977
251,0.013268977
252,0.013268977
253,0.013268977
254,0.013268948
255,0.013268948
256,0.013268977
257,0.013268948
258,0.013268977
259,0.013268977
260,0.013268948
261,0.013268948
262,0.013268977
263,0.013269007
264,0.013268977
265,0.013268977
266,0.013268977
267,0.013268977
268,0.013268948
269,0.013268977
270,0.013269007
271,0.013268977
272,0.013268977
273,0.013268948
274,0.013269007
275,0.013268948
276,0.013268948
277,0.013268977
278,0.013268977
279,0.013268977
280,0.013268977
281,0.013268977
282,0.013268948
283,0.013268977
284,0.013269007
285,0.013268948
286,0.013269007
287,0.013269007
288,0.013268977
289,0.013268948
290,0.013268948
291,0.013268977
292,0.013268977
293,0.013268948
294,0.013269007
295,0.013268977
296,0.013268977
297,0.013268977
298,0.013269007
299,0.013269007
300,0.013268977
301,0.013268977
302,0.013268977
303,0.013269007
304,0.013268948
305,0.013268948
306,0.013268977
307,0.013268977
308,0.013268977
309,0.013268948
310,0.013268977
311,0.013268977
312,0.013268977
313,0.013269007
314,0.013268977
315,0.013268977
316,0.013268977
317,0.013268948
318,0.013268977
319,0.013268977
320,0.013268977
321,0.013268948
322,0.013268977
323,0.013268948
324,0.013269007
325,0.013268948
326,0.013268977
327,0.013268977
328,0.013268948
329,0.013269007
330,0.013268977
331,0.013268948
332,0.013268977
333,0.013268977
334,0.013269007
335,0.013268977
336,0.013268948
337,0.013268948
338,0.013268977
339,0.013268948
340,0.013268977
341,0.013268948
342,0.013268977
343,0.013268977
344,0.013268948
345,0.013268977
346,0.013268948
347,0.013269007
348,0.013268977
349,0.013268977
350,0.013268977
351,0.013268977
352,0.013268977
353,0.013268977
354,0.013268977
355,0.013269007
356,0.013268977
357,0.013268977
358,0.013268977
359,0.013268977
360,0.013268977
361,0.013268977
362,0.013268948
363,0.013268977
364,0.013268948
365,0.013268977
366,0.013268977
367,0.013268948
368,0.013269007
369,0.013268948
370,0.013268948
371,0.013268948
372,0.013268977
373,0.013268977
374,0.013268977
375,0.013268948
376,0.013268977
377,0.013268948
378,0.013268977
379,0.013268948
380,0.013268948
381,0.013268948
382,0.013268948
383,0.013269007
384,0.013268977
385,0.013268977
386,0.013268948
387,0.013268977
388,0.013268977
389,0.013269007
390,0.013268977
391,0.013268977
392,0.013268977
393,0.013268977
394,0.013268977
395,0.013268948
396,0.013268977
397,0.013268977
398,0.013268977
399,0.013269007
400,0.013268977
401,0.013268977
402,0.013268948
403,0.013268977
404,0.013268948
405,0.013269007
406,0.013268977
407,0.013268977
408,0.013269007
409,0.013268948
410,0.013268977
411,0.013268948
412,0.013269007
413,0.013268948
414,0.013268977
415,0.013268977
416,0.013268977
417,0.013268977
418,0.013268948
419,0.013268948
420,0.013268977
421,0.013268977
422,0.013268977
423,0.013268977
424,0.013268948
425,0.013268977
426,0.013268948
427,0.013268948
428,0.013268977
429,0.013268977
430,0.013268948
431,0.013268948
432,0.013268948
433,0.013268948
434,0.013268977
435,0.013268948
436,0.013268977
437,0.013268977
438,0.013268977
439,0.013268977
440,0.013268977
441,0.013268977
442,0.013268948
443,0.013268948
444,0.013268948
445,0.013268977
446,0.013268977
447,0.013268948
448,0.013268977
449,0.013268948
450,0.013269007
451,0.013268977
452,0.013268948
453,0.013269007
454,0.013268977
455,0.013268977
456,0.013268948
457,0.013268977
458,0.013268977
459,0.013268977
460,0.013269007
461,0.013268977
462,0.013268977
463,0.013268977
464,0.013268977
465,0.013268977
466,0.013268977
467,0.013268977
468,0.013268977
469,0.013268977
470,0.013268977
471,0.013268977
472,0.013268977
473,0.013268977
474,0.013268948
475,0.013269007
476,0.013268977
477,0.013268948
478,0.013268977
479,0.013268948
480,0.013268977
481,0.013268948
482,0.013268948
483,0.013269007
484,0.013268977
485,0.013268977
486,0.013268977
487,0.013268977
488,0.013268977
489,0.013268948
490,0.013268977
491,0.013268948
492,0.013269007
493,0.013268977
494,0.013268948
495,0.013268948
496,0.013268977
497,0.013268977
498,0.013268977
499,0.013268977
500,0.013268948
501,0.013269007
502,0.013268977
503,0.013269007
504,0.013268977
505,0.013268977
506,0.013269007
507,0.013268977
508,0.013268977
509,0.013268977
510,0.013268977
511,0.013269007
512,0.013268948
513,0.013268948
514,0.013268977
515,0.013268948
516,0.013268977
517,0.013268977
518,0.013268948
519,0.013268977
520,0.013268977
521,0.013268948
522,0.013268948
523,0.013268977
524,0.013268977
525,0.013268977
526,0.013268977
527,0.013268977
528,0.013268977
529,0.013269007
530,0.013268977
531,0.013268948
532,0.013268977
533,0.013268977
534,0.013268977
535,0.013268977
536,0.013268977
537,0.013268977
538,0.013268977
539,0.013268977
540,0.013268977
541,0.013268977
542,0.013268948
543,0.013268948
544,0.013268948
545,0.013268977
546,0.013268977
547,0.013268977
548,0.013269007
549,0.013268977
550,0.013268977
551,0.013268977
552,0.013268977
553,0.013268977
