,result
0,0.014937729
1,0.014937729
2,0.014937758
3,0.014937758
4,0.014937729
5,0.014937729
6,0.014937729
7,0.014937729
8,0.014937729
9,0.014937758
10,0.014937729
11,0.014937729
12,0.014937729
13,0.014937729
14,0.014937758
15,0.014937729
16,0.014937729
17,0.014937729
18,0.014937729
19,0.014937729
20,0.014937729
21,0.014937758
22,0.014937729
23,0.014937729
24,0.014937758
25,0.014937729
26,0.014937729
27,0.014937729
28,0.014937729
29,0.014937729
30,0.014937729
31,0.014937729
32,0.014937729
33,0.014937758
34,0.014937729
35,0.014937729
36,0.014937729
37,0.014937729
38,0.014937758
39,0.014937729
40,0.014937729
41,0.014937729
42,0.014937729
43,0.014937729
44,0.014937758
45,0.014937729
46,0.014937729
47,0.014937758
48,0.014937729
49,0.014937729
50,0.014937729
51,0.014937729
52,0.014937729
53,0.014937729
54,0.014937729
55,0.014937758
56,0.014937729
57,0.014937729
58,0.014937729
59,0.014937758
60,0.014937729
61,0.014937729
62,0.014937729
63,0.014937729
64,0.014937729
65,0.014937729
66,0.014937729
67,0.014937729
68,0.014937729
69,0.014937758
70,0.014937729
71,0.014937729
72,0.014937758
73,0.014937758
74,0.014937729
75,0.014937729
76,0.014937758
77,0.014937729
78,0.014937729
79,0.014937758
80,0.014937729
81,0.014937729
82,0.014937729
83,0.014937758
84,0.014937729
85,0.014937729
86,0.014937729
87,0.014937729
88,0.014937729
89,0.014937758
90,0.014937729
91,0.014937729
92,0.014937758
93,0.014937758
94,0.014937729
95,0.014937729
96,0.014937729
97,0.014937729
98,0.014937729
99,0.014937729
100,0.014937729
101,0.014937729
102,0.014937729
103,0.014937729
104,0.014937758
105,0.014937729
106,0.014937729
107,0.014937729
108,0.014937729
109,0.014937729
110,0.014937729
111,0.014937729
112,0.014937729
113,0.014937729
114,0.014937729
115,0.014937729
116,0.014937729
117,0.014937729
118,0.014937729
119,0.014937729
120,0.014937729
121,0.014937729
122,0.014937729
123,0.014937729
124,0.014937758
125,0.014937729
126,0.014937729
127,0.014937729
128,0.014937729
129,0.014937729
130,0.014937729
131,0.014937729
132,0.014937729
133,0.014937758
134,0.014937729
135,0.014937729
136,0.014937758
137,0.014937729
138,0.014937729
139,0.014937758
140,0.014937729
141,0.014937729
142,0.014937729
143,0.014937729
144,0.014937729
145,0.014937729
146,0.014937729
147,0.014937758
148,0.014937729
149,0.014937729
150,0.014937729
151,0.014937729
152,0.014937758
153,0.014937729
154,0.014937729
155,0.014937729
156,0.014937758
157,0.014937729
158,0.014937758
159,0.014937729
160,0.014937729
161,0.014937758
162,0.014937729
163,0.014937729
164,0.014937758
165,0.014937729
166,0.014937729
167,0.014937729
168,0.014937729
169,0.014937729
170,0.014937729
171,0.014937729
172,0.014937729
173,0.014937729
174,0.014937729
175,0.014937729
176,0.014937729
