,result
0,0.017154723
1,0.017154723
2,0.017154723
3,0.017154723
4,0.017154723
5,0.017154723
6,0.017154723
7,0.017154723
8,0.017154723
9,0.017154723
10,0.017154723
11,0.017154723
12,0.017154723
13,0.017154723
14,0.017153502
15,0.017154723
16,0.017154723
17,0.017154723
18,0.017154723
19,0.017154723
20,0.017154723
21,0.017154723
22,0.017154723
23,0.017154723
24,0.017154723
25,0.017154723
26,0.017154723
27,0.017154723
28,0.017154723
29,0.017154723
30,0.017154723
31,0.017154723
32,0.017154723
33,0.017154723
34,0.017154723
35,0.017154723
36,0.017154723
37,0.017154723
38,0.017154723
39,0.017154723
40,0.017154723
41,0.017154723
42,0.017154723
43,0.017154723
44,0.017154723
45,0.017154723
46,0.017154723
47,0.017154723
48,0.017154723
49,0.017154723
50,0.017154723
51,0.017154723
52,0.017154723
53,0.017154723
54,0.017154723
55,0.017154723
56,0.017154723
57,0.017154723
58,0.017154723
59,0.017154723
60,0.017154723
61,0.017154723
62,0.017154723
63,0.017154723
64,0.017154723
65,0.017154723
66,0.017154723
67,0.017154723
68,0.017154723
69,0.017154723
70,0.017154723
71,0.017154723
72,0.017154723
73,0.017154723
74,0.017154723
75,0.017154723
76,0.017154723
77,0.017154723
78,0.017154723
79,0.017154723
80,0.017154723
81,0.017154723
82,0.017154723
83,0.017154723
84,0.017154723
85,0.017154723
86,0.017154723
87,0.017154723
88,0.017154723
89,0.017154723
90,0.017154723
91,0.017154723
92,0.017154723
93,0.017154723
94,0.017154723
95,0.017154723
96,0.017154723
97,0.017154723
98,0.017154723
99,0.017154723
100,0.017154723
101,0.017154723
102,0.017154723
103,0.017154723
104,0.017154723
105,0.017154723
106,0.017154723
107,0.017154723
108,0.017154723
109,0.017154723
110,0.017154723
111,0.017154723
112,0.017154723
113,0.017154723
114,0.017154723
115,0.017154723
116,0.017154723
117,0.017154723
118,0.017154723
119,0.017154723
120,0.017154723
121,0.017154723
122,0.017154723
123,0.017154723
124,0.017154723
125,0.017154723
126,0.017154723
127,0.017154723
128,0.017154723
129,0.017154723
130,0.017154723
131,0.017154723
132,0.017154723
133,0.017154723
134,0.017154723
135,0.017154723
136,0.017154723
137,0.017154723
138,0.017154723
139,0.017154723
140,0.017154723
141,0.017154723
142,0.017154723
143,0.017154723
144,0.017154723
145,0.017154723
146,0.017154723
147,0.017154723
148,0.017154723
149,0.017154723
150,0.017154723
151,0.017154723
152,0.017154723
153,0.017154723
154,0.017154723
155,0.017154723
156,0.017154723
157,0.017154723
158,0.017154723
159,0.017154723
160,0.017154723
161,0.017154723
162,0.017154723
163,0.017154723
164,0.017154723
165,0.017154723
166,0.017154723
167,0.017154723
168,0.017154723
169,0.017150998
170,0.017154723
171,0.017154723
172,0.017154723
173,0.017154723
174,0.017154723
175,0.017154723
176,0.017154723
177,0.017154723
178,0.017154723
179,0.017154723
180,0.017154723
181,0.017154723
182,0.017154723
183,0.017154723
184,0.017154723
185,0.017154723
186,0.017154723
187,0.017154723
188,0.017154723
189,0.017154723
190,0.017154723
191,0.017154723
192,0.017154723
193,0.017154723
194,0.017154723
195,0.017154723
196,0.017154723
197,0.017154723
198,0.017154723
199,0.017154723
200,0.017154723
201,0.017154723
202,0.017154723
203,0.017154723
204,0.017154723
205,0.017154723
206,0.017154723
207,0.017154723
208,0.017154723
209,0.017154723
210,0.017154723
211,0.017154723
212,0.017154723
213,0.017154723
214,0.017154723
215,0.017154723
216,0.017154723
217,0.017160743
218,0.017154723
219,0.017154723
220,0.017154723
221,0.017154723
222,0.017154723
223,0.017154723
224,0.017154723
225,0.017154723
226,0.017154723
227,0.017154723
228,0.017154723
229,0.017154723
230,0.017154723
231,0.017154723
232,0.017154723
233,0.017154723
234,0.017154723
235,0.017154723
236,0.017154723
237,0.017154723
238,0.017154723
239,0.017154723
240,0.017154723
241,0.017154723
242,0.017154723
243,0.017154723
244,0.017154723
245,0.017154723
246,0.017154723
247,0.017154723
248,0.017154723
249,0.017154723
250,0.017154723
251,0.017154723
252,0.017154723
253,0.017154723
254,0.017154723
255,0.017154723
256,0.017154723
257,0.017154723
258,0.017154723
259,0.017154723
260,0.017154723
261,0.017154723
262,0.017154723
263,0.017154723
264,0.017154723
265,0.017154723
266,0.017154723
267,0.017154723
268,0.017154723
269,0.017154723
270,0.017154723
271,0.017154723
272,0.017154723
273,0.017154723
274,0.017154723
275,0.017154723
276,0.017154723
277,0.017154723
278,0.017154723
279,0.017154723
280,0.017154723
281,0.017154723
282,0.017154723
283,0.017154723
284,0.017154723
285,0.017154723
286,0.017154723
287,0.017154723
288,0.017154723
289,0.017154723
290,0.017154723
291,0.017154723
292,0.017154723
293,0.017154723
294,0.017154723
295,0.017154723
296,0.017154723
297,0.017154723
298,0.017154723
299,0.017154723
300,0.017154723
301,0.017154723
302,0.017154723
303,0.017154723
304,0.017154723
305,0.017154723
306,0.017154723
307,0.017154723
308,0.017154723
309,0.017154723
310,0.017154723
311,0.017154723
312,0.017154723
313,0.017154723
314,0.017154723
315,0.017154723
316,0.017154723
317,0.017154723
318,0.017154723
319,0.017154723
320,0.017154723
321,0.017154723
322,0.017154723
323,0.017154723
324,0.017154723
325,0.017154723
326,0.017154723
327,0.017154723
328,0.017154723
329,0.017154723
330,0.017154723
331,0.017154723
332,0.017154723
333,0.017154723
334,0.017154723
335,0.017154723
336,0.017154723
337,0.017154723
338,0.017154723
339,0.017154723
340,0.017154723
341,0.017154723
342,0.017154723
343,0.017154723
344,0.017154723
345,0.017154723
346,0.017154723
347,0.017154723
348,0.017154723
349,0.017154723
350,0.017154723
351,0.017154723
352,0.017154723
353,0.017154723
354,0.017154723
355,0.017154723
356,0.017154723
357,0.017154723
358,0.017154723
359,0.017154723
360,0.017154723
361,0.017154723
362,0.017154723
363,0.017154723
364,0.017154723
365,0.017154723
366,0.017154723
367,0.017154723
368,0.017154723
369,0.017154723
370,0.017154723
371,0.017154723
372,0.017154723
373,0.017154723
374,0.017154723
375,0.017154723
376,0.017154723
377,0.017154723
378,0.017154723
379,0.017154723
380,0.017154723
381,0.017154723
382,0.017154723
383,0.017154723
384,0.017154723
385,0.017154723
386,0.017154723
387,0.017154723
388,0.017154723
389,0.017154723
390,0.017154723
